m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-16-2023-18-42-40,644,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-18-2023-22-25-56,644,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-00-47-58,820,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-01-41-45,820,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-23-09-39,1252,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-23-33-55,1252,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-23-42-59,1252,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-EscolaService,06-26-2023-23-55-52,1377,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-UsuarioService,06-16-2023-16-34-27,906,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-UsuarioService,06-18-2023-22-32-51,906,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-UsuarioService,06-18-2023-22-44-16,909,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-UsuarioService,06-24-2023-23-48-12,909,0.0,0.25,0.0,0.125,0.125
0.0,0.0,0.0,0.0,1.0,0.0,fga-eps-mds-2023.1-Dnit-UsuarioService,06-26-2023-23-54-58,909,0.0,0.25,0.0,0.125,0.125
0.9,0.0,0.8,0.0,0.0,0.6,fga-eps-mds-2023.1-Dnit-Front,06-16-2023-19-39-49,1531,0.561,0.3,0.2805,0.15,0.4305
0.9,0.0,0.8,0.0,0.0,0.6,fga-eps-mds-2023.1-Dnit-Front,06-26-2023-12-36-32,1531,0.561,0.3,0.2805,0.15,0.4305
0.9629629629629629,0.0,1.0,1.0,1.0,0.6481481481481481,fga-eps-mds-2023.1-Dnit-Front,06-27-2023-00-16-08,22838,0.6477777777777778,0.8240740740740741,0.3238888888888889,0.41203703703703703,0.7359259259259259
0.9629629629629629,0.0,1.0,1.0,1.0,0.6481481481481481,fga-eps-mds-2023.1-Dnit-Front,06-27-2023-00-20-15,22841,0.6477777777777778,0.8240740740740741,0.3238888888888889,0.41203703703703703,0.7359259259259259
